split,video_id,n_windows,n_pos,n_neg,toa,description,min_gap,max_gap,class_pattern
train,2/004,2,1,1,150,ego-car controls loss,6,86,ambas clases
train,2/005,3,1,2,218,ego-car turns left across path at non-signalized junctions,10,154,ambas clases
train,2/006,3,1,2,270,ego-car controls loss,14,174,ambas clases
train,20/001,3,1,2,182,a vehicle turns on a road with the same direction to vehicle,6,118,ambas clases
train,21/002,4,2,2,212,a vehicle turns right across path at non-signalized junctions,4,132,ambas clases
train,21/003,2,1,1,154,there is an object crash,10,90,ambas clases
train,21/004,3,1,2,328,a vehicle is out of control,8,168,ambas clases
train,21/005,2,1,1,166,a vehicle turns left across path at signalized junctions,6,102,ambas clases
train,22/001,2,1,1,124,a motorbike is out of control,12,60,ambas clases
train,23/001,2,1,1,170,a vehicle is out of control,10,106,ambas clases
train,24/001,2,1,1,155,a vehicle is out of control,11,91,ambas clases
train,24/002,3,1,2,525,a vehicle is out of control,13,125,ambas clases
train,24/004,3,1,2,357,a vehicle is out of control,5,133,ambas clases
train,24/005,3,1,2,375,a vehicle is out of control,7,151,ambas clases
train,24/006,4,2,2,322,a vehicle is out of control,2,178,ambas clases
train,24/007,3,1,2,215,a vehicle is out of control,7,151,ambas clases
train,24/009,2,1,1,120,a vehicle turns left across path at non-signalized junctions,8,56,ambas clases
train,24/012,2,1,1,157,a vehicle changes lanes with the same direction to ego-car/another vehicle,13,93,ambas clases
train,24/015,3,1,2,455,a vehicle changes lanes with the same direction to ego-car/another vehicle,7,167,ambas clases
train,24/017,3,1,2,236,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,172,ambas clases
train,3/001,4,2,2,404,a cyclist crosses the road,4,180,ambas clases
train,3/002,3,1,2,184,a cyclist crosses the road,8,120,ambas clases
train,3/004,4,2,2,355,a cyclist crosses the road,3,147,ambas clases
train,3/006,2,1,1,155,a cyclist crosses the road,11,91,ambas clases
train,3/007,3,2,1,100,a cyclist crosses the road,4,36,ambas clases
train,3/008,3,1,2,360,a cyclist crosses the road,8,168,ambas clases
train,3/009,3,1,2,230,a cyclist crosses the road,6,118,ambas clases
train,3/010,3,1,2,345,a cyclist crosses the road,9,169,ambas clases
train,3/011,2,1,1,170,a cyclist crosses the road,10,106,ambas clases
train,3/012,2,1,1,170,a cyclist crosses the road,10,106,ambas clases
train,3/014,2,1,1,118,a cyclist crosses the road,6,54,ambas clases
train,3/015,3,1,2,215,a cyclist crosses the road,7,135,ambas clases
train,3/016,3,1,2,204,a cyclist crosses the road,12,140,ambas clases
train,30/001,3,1,2,300,a vehicle is out of control,12,172,ambas clases
train,33/001,3,1,2,247,a vehicle backes up into another vehicle,7,167,ambas clases
train,34/001,1,1,0,94,there is an object crash,14,14,solo positivos
train,36/002,3,1,2,278,there is an object crash,6,134,ambas clases
train,37/001,4,2,2,420,a motorbike is out of control,4,148,ambas clases
train,37/004,3,1,2,443,a motorbike is out of control,11,155,ambas clases
train,37/005,3,1,2,202,a motorbike is out of control,10,138,ambas clases
train,37/006,3,1,2,400,a motorbike is out of control,16,176,ambas clases
train,37/008,4,2,2,387,a motorbike is out of control,3,179,ambas clases
train,37/009,2,1,1,124,a motorbike is out of control,12,60,ambas clases
train,37/010,2,1,1,155,a motorbike is out of control,11,91,ambas clases
train,37/014,3,1,2,279,a motorbike is out of control,7,167,ambas clases
train,37/015,2,1,1,96,a motorbike is out of control,16,32,ambas clases
train,37/023,2,1,1,176,a motorbike is out of control,16,112,ambas clases
train,37/025,3,1,2,316,a motorbike is out of control,12,124,ambas clases
train,37/026,2,1,1,176,a motorbike is out of control,16,112,ambas clases
train,37/027,2,1,1,96,a motorbike is out of control,16,32,ambas clases
train,37/029,1,1,0,92,a motorbike is out of control,12,12,solo positivos
train,37/031,2,1,1,138,a motorbike is out of control,10,74,ambas clases
train,37/032,2,1,1,105,a motorbike is out of control,9,41,ambas clases
train,37/033,2,1,1,110,a motorbike is out of control,14,46,ambas clases
train,37/035,2,1,1,150,a motorbike is out of control,6,86,ambas clases
train,37/036,1,1,0,92,a motorbike is out of control,12,12,solo positivos
train,37/039,2,0,2,0,no accident,-128,-64,solo negativos
train,37/042,2,1,1,108,a motorbike is out of control,12,44,ambas clases
train,37/043,3,2,1,100,a motorbike is out of control,4,36,ambas clases
train,37/045,3,2,1,116,a motorbike is out of control,4,52,ambas clases
train,37/046,2,1,1,154,a motorbike is out of control,10,90,ambas clases
train,37/047,1,1,0,94,a motorbike is out of control,14,14,solo positivos
train,37/054,4,2,2,195,a motorbike is out of control,3,131,ambas clases
train,37/055,3,2,1,114,a motorbike is out of control,2,50,ambas clases
train,37/056,3,1,2,200,a motorbike is out of control,8,136,ambas clases
train,37/057,3,1,2,255,a motorbike is out of control,15,143,ambas clases
train,37/060,3,1,2,199,a motorbike is out of control,7,135,ambas clases
train,37/063,3,1,2,200,a motorbike is out of control,8,136,ambas clases
train,37/067,2,1,1,120,a motorbike is out of control,8,56,ambas clases
train,37/069,3,1,2,216,a motorbike is out of control,8,152,ambas clases
train,37/070,2,1,1,150,a motorbike is out of control,6,86,ambas clases
train,37/071,3,2,1,130,a motorbike is out of control,2,66,ambas clases
train,37/074,3,1,2,203,a motorbike is out of control,11,139,ambas clases
train,37/076,3,1,2,218,a motorbike is out of control,10,122,ambas clases
train,37/077,2,1,1,126,a motorbike is out of control,14,62,ambas clases
train,37/079,2,1,1,156,a motorbike is out of control,12,92,ambas clases
train,37/080,3,2,1,130,a motorbike is out of control,2,66,ambas clases
train,37/083,2,1,1,110,a motorbike is out of control,14,46,ambas clases
train,37/084,3,1,2,190,a motorbike is out of control,14,126,ambas clases
train,37/085,3,1,2,272,a motorbike is out of control,16,144,ambas clases
train,38/001,2,1,1,170,a motorbike changes lines into motorway,10,106,ambas clases
train,38/003,1,1,0,90,a motorbike crosses the road,10,10,solo positivos
train,38/005,3,1,2,456,a motorbike crosses the road,8,136,ambas clases
train,38/007,2,1,1,136,a motorbike changes lines into motorway,8,72,ambas clases
train,38/008,3,1,2,190,a motorbike crosses the road,14,126,ambas clases
train,38/012,3,1,2,264,a motorbike crosses the road,8,152,ambas clases
train,38/013,3,1,2,460,a motorbike turns left across path at signalized junctions,12,172,ambas clases
train,38/016,2,1,1,103,a motorbike crosses the road,7,39,ambas clases
train,38/018,3,1,2,456,a motorbike crosses the road,8,120,ambas clases
train,38/019,2,1,1,126,a motorbike turns left across path at signalized junctions,14,62,ambas clases
train,38/022,2,1,1,141,a motorbike crosses the road,13,77,ambas clases
train,38/024,4,2,2,260,a motorbike crosses the road,4,164,ambas clases
train,38/027,2,1,1,110,a motorbike crosses the road,14,46,ambas clases
train,38/029,3,1,2,236,a motorbike retrogrades,12,172,ambas clases
train,38/033,3,1,2,282,a motorbike crosses the road,10,138,ambas clases
train,38/036,3,2,1,164,a motorbike crosses the road,4,100,ambas clases
train,38/038,2,1,1,140,lead motorcycle stops,12,76,ambas clases
train,38/039,3,2,1,146,a motorbike crosses the road,2,82,ambas clases
train,38/040,2,1,1,140,a motorbike turns left across path at non-signalized junctions,12,76,ambas clases
train,38/041,4,2,2,212,a motorbike changes lines into motorway,4,132,ambas clases
train,38/042,2,1,1,108,a motorbike turns left across path at signalized junctions,12,44,ambas clases
train,38/043,2,1,1,125,a motorbike changes lines into motorway,13,61,ambas clases
train,38/048,2,1,1,144,a motorbike turns left across path at signalized junctions,16,80,ambas clases
train,38/049,3,2,1,115,a motorbike turns left across path at signalized junctions,3,51,ambas clases
train,38/050,1,1,0,90,a motorbike crosses the road,10,10,solo positivos
train,38/051,3,1,2,220,lead motorcycle stops,12,156,ambas clases
train,38/053,3,2,1,132,a motorbike changes lines into motorway,4,68,ambas clases
train,38/056,3,1,2,182,a motorbike turns right across path at signalized junctions,6,118,ambas clases
train,38/057,2,1,1,155,a motorbike retrogrades,11,91,ambas clases
train,38/061,3,2,1,130,a motorbike turns left across path at signalized junctions,2,66,ambas clases
train,38/062,3,2,1,145,a motorbike retrogrades,1,81,ambas clases
train,38/067,3,2,1,97,a motorbike turns right across path at non-signalized junctions,1,33,ambas clases
train,39/001,2,1,1,105,a vehicle is out of control,9,41,ambas clases
train,39/002,4,2,2,403,a vehicle is out of control,3,179,ambas clases
train,39/004,3,2,1,132,a vehicle is out of control,4,68,ambas clases
train,39/005,4,2,2,305,a vehicle is out of control,1,177,ambas clases
train,39/006,2,1,1,160,a vehicle is out of control,16,96,ambas clases
train,39/007,3,1,2,288,a vehicle is out of control,16,176,ambas clases
train,39/009,4,2,2,465,a vehicle is out of control,1,177,ambas clases
train,39/010,4,2,2,290,a vehicle is out of control,2,178,ambas clases
train,39/013,3,1,2,232,a vehicle is out of control,8,120,ambas clases
train,39/014,3,2,1,148,a vehicle is out of control,4,84,ambas clases
train,39/019,3,2,1,164,a vehicle is out of control,4,100,ambas clases
train,39/020,3,1,2,234,a vehicle is out of control,10,170,ambas clases
train,39/022,2,1,1,165,a vehicle is out of control,5,101,ambas clases
train,39/023,2,1,1,110,a vehicle is out of control,14,46,ambas clases
train,39/026,2,1,1,102,a vehicle is out of control,6,38,ambas clases
train,39/028,3,1,2,279,a vehicle is out of control,7,167,ambas clases
train,39/029,2,1,1,120,a vehicle is out of control,8,56,ambas clases
train,39/030,3,1,2,246,a vehicle is out of control,6,118,ambas clases
train,4/002,2,1,1,150,ego-car turns left across path at non-signalized junctions,6,86,ambas clases
train,4/003,3,2,1,115,a cyclist changes lines into motorway,3,51,ambas clases
train,4/004,3,1,2,224,ego-car turns left across path at non-signalized junctions,16,128,ambas clases
train,4/008,2,1,1,140,a cyclist changes lines into motorway,12,76,ambas clases
train,4/009,1,1,0,94,ego-car  turns right across path at non-signalized junctions,14,14,solo positivos
train,4/010,3,2,1,145,a cyclist changes lines into motorway,1,81,ambas clases
train,4/011,2,1,1,153,ego-car goes straight crossing paths at non-signalized junctions,9,89,ambas clases
train,40/002,3,1,2,182,lead vehicle stops,6,118,ambas clases
train,40/003,2,1,1,170,a vehicle is out of control,10,106,ambas clases
train,40/004,3,1,2,232,a vehicle is out of control,8,152,ambas clases
train,40/007,3,1,2,326,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,134,ambas clases
train,40/010,3,1,2,286,a vehicle is out of control,14,158,ambas clases
train,40/011,3,1,2,282,a vehicle changes lanes with the same direction to ego-car/another vehicle,10,122,ambas clases
train,40/012,4,2,2,194,lead vehicle stops,2,130,ambas clases
train,40/013,2,0,2,0,lead vehicle stops,-192,-64,solo negativos
train,40/014,3,1,2,189,a vehicle turns left across path at signalized junctions,13,125,ambas clases
train,41/002,2,1,1,104,a vehicle is out of control,8,40,ambas clases
train,41/003,3,1,2,332,a vehicle is out of control,12,172,ambas clases
train,41/008,3,1,2,684,a vehicle is out of control,12,156,ambas clases
train,41/009,3,1,2,224,a vehicle is out of control,16,144,ambas clases
train,41/012,3,1,2,192,a vehicle is out of control,16,128,ambas clases
train,41/016,3,2,1,116,a vehicle is out of control,4,52,ambas clases
train,42/001,3,1,2,282,a vehicle is out of control,10,170,ambas clases
train,42/002,4,2,2,196,a vehicle is out of control,4,132,ambas clases
train,42/003,3,1,2,190,a vehicle is out of control,14,126,ambas clases
train,42/004,3,2,1,146,a vehicle is out of control,2,82,ambas clases
train,42/008,2,1,1,140,a vehicle is out of control,12,76,ambas clases
train,42/009,3,1,2,208,a vehicle is out of control,16,144,ambas clases
train,42/011,3,1,2,240,a vehicle is out of control,16,176,ambas clases
train,42/012,2,1,1,95,a vehicle is out of control,15,31,ambas clases
train,42/015,1,1,0,92,a vehicle is out of control,12,12,solo positivos
train,42/018,2,1,1,102,a vehicle is out of control,6,38,ambas clases
train,42/022,2,1,1,170,a vehicle is out of control,10,106,ambas clases
train,43/001,2,1,1,120,lead vehicle stops,8,56,ambas clases
train,43/002,3,2,1,115,a vehicle turns left across path at non-signalized junctions,3,51,ambas clases
train,43/003,2,1,1,106,a vehicle crosses the road,10,42,ambas clases
train,43/004,3,1,2,185,lead vehicle stops,9,121,ambas clases
train,43/005,3,1,2,350,lead vehicle stops,14,126,ambas clases
train,43/006,3,1,2,332,vehicles  meet on the road,12,156,ambas clases
train,43/007,2,1,1,150,a vehicle crosses the road,6,86,ambas clases
train,43/010,4,2,2,369,lead vehicle stops,1,177,ambas clases
train,43/011,3,1,2,396,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,140,ambas clases
train,43/013,3,1,2,352,lead vehicle stops,16,160,ambas clases
train,43/014,2,1,1,124,vehicles  meet on the road,12,60,ambas clases
train,43/015,3,1,2,320,lead vehicle stops,16,144,ambas clases
train,43/017,2,1,1,96,a vehicle crosses the road,16,32,ambas clases
train,43/018,3,2,1,100,a vehicle turns left across path at signalized junctions,4,36,ambas clases
train,43/020,2,1,1,95,a vehicle changes lanes with the same direction to ego-car/another vehicle,15,31,ambas clases
train,43/021,2,1,1,140,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,76,ambas clases
train,43/022,2,1,1,110,lead vehicle stops,14,46,ambas clases
train,43/025,3,1,2,272,lead vehicle stops,16,160,ambas clases
train,43/026,3,1,2,248,lead vehicle stops,8,136,ambas clases
train,43/031,2,1,1,150,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,86,ambas clases
train,43/032,3,1,2,184,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,120,ambas clases
train,43/035,3,1,2,183,a vehicle crosses the road,7,119,ambas clases
train,43/037,4,2,2,370,a vehicle turns right across path at non-signalized junctions,2,178,ambas clases
train,43/038,3,1,2,310,a vehicle turns left across path at non-signalized junctions,6,166,ambas clases
train,43/039,4,2,2,340,a vehicle turns left across path at non-signalized junctions,4,180,ambas clases
train,43/042,3,1,2,374,a vehicle turns left across path at non-signalized junctions,6,150,ambas clases
train,43/046,3,1,2,316,a vehicle backes up into another vehicle,12,156,ambas clases
train,43/047,3,1,2,296,lead vehicle stops,8,168,ambas clases
train,43/049,3,1,2,234,lead vehicle stops,10,170,ambas clases
train,43/050,3,1,2,222,a vehicle turns left across path at non-signalized junctions,14,158,ambas clases
train,43/051,1,1,0,90,a vehicle turns left across path at non-signalized junctions,10,10,solo positivos
train,43/052,3,2,1,178,lead vehicle stops,2,114,ambas clases
train,43/054,2,1,1,105,a vehicle crosses the road,9,41,ambas clases
train,43/069,3,2,1,129,lead vehicle stops,1,65,ambas clases
train,43/070,2,1,1,160,lead vehicle stops,16,96,ambas clases
train,43/071,3,1,2,200,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,136,ambas clases
train,43/073,3,1,2,186,a vehicle turns left across path at signalized junctions,10,122,ambas clases
train,43/074,3,1,2,219,a vehicle crosses the road,11,155,ambas clases
train,43/078,2,1,1,120,a vehicle turns on a road with the opposite direction to ego-car/another vehicle,8,56,ambas clases
train,43/080,3,2,1,100,a vehicle crosses the road,4,36,ambas clases
train,43/082,3,1,2,270,a vehicle backes up into another vehicle,14,174,ambas clases
train,43/083,3,1,2,186,a vehicle turns left across path at signalized junctions,10,122,ambas clases
train,43/085,2,1,1,160,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,96,ambas clases
train,43/086,1,1,0,90,lead vehicle stops,10,10,solo positivos
train,43/089,3,1,2,230,a vehicle turns on a road with the opposite direction to ego-car/another vehicle,6,134,ambas clases
train,43/093,2,1,1,165,lead vehicle stops,5,101,ambas clases
train,43/094,2,1,1,160,a vehicle crosses the road,16,96,ambas clases
train,43/096,3,1,2,350,a vehicle backes up into another vehicle,14,142,ambas clases
train,43/097,3,2,1,130,lead vehicle stops,2,66,ambas clases
train,43/099,3,1,2,197,a vehicle backes up into another vehicle,5,133,ambas clases
train,43/100,2,1,1,120,lead vehicle stops,8,56,ambas clases
train,43/101,1,1,0,90,lead vehicle stops,10,10,solo positivos
train,43/102,4,2,2,210,lead vehicle decelerates,2,146,ambas clases
train,43/103,2,1,1,165,a vehicle crosses the road,5,101,ambas clases
train,43/104,2,1,1,167,a vehicle turns on a road with the same direction to ego-car/another vehicle,7,103,ambas clases
train,43/106,2,1,1,112,a vehicle is out of control,16,48,ambas clases
train,43/108,2,1,1,103,a vehicle crosses the road,7,39,ambas clases
train,43/110,2,1,1,120,lead vehicle stops,8,56,ambas clases
train,43/112,2,1,1,156,a vehicle turns left across path at non-signalized junctions,12,92,ambas clases
train,43/113,2,1,1,110,lead vehicle stops,14,46,ambas clases
train,43/114,3,1,2,184,a vehicle turns left across path at signalized junctions,8,120,ambas clases
train,43/115,3,1,2,204,a vehicle is out of control,12,140,ambas clases
train,43/119,2,1,1,120,a vehicle turns left across path at signalized junctions,8,56,ambas clases
train,43/121,4,2,2,243,lead vehicle stops,3,163,ambas clases
train,43/122,2,1,1,108,a vehicle crosses the road,12,44,ambas clases
train,43/125,3,2,1,162,lead vehicle stops,2,98,ambas clases
train,43/127,2,1,1,150,lead vehicle stops,6,86,ambas clases
train,43/128,2,1,1,158,a vehicle turns on a road with the opposite direction to ego-car/another vehicle,14,94,ambas clases
train,43/130,3,1,2,334,a vehicle turns right across path at signalized junctions,14,158,ambas clases
train,43/131,2,1,1,138,a vehicle is out of control,10,74,ambas clases
train,43/136,3,1,2,186,a vehicle changes lanes with the same direction to ego-car/another vehicle,10,122,ambas clases
train,43/137,2,1,1,150,a vehicle overtakes,6,86,ambas clases
train,43/138,1,1,0,92,lead vehicle stops,12,12,solo positivos
train,43/140,3,2,1,180,lead vehicle stops,4,116,ambas clases
train,43/141,1,1,0,93,lead vehicle stops,13,13,solo positivos
train,43/142,4,2,2,194,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,130,ambas clases
train,43/143,2,1,1,142,a vehicle crosses the road,14,78,ambas clases
train,43/144,2,1,1,127,a vehicle changes lanes with the same direction to ego-car/another vehicle,15,63,ambas clases
train,43/146,2,1,1,160,a vehicle backes up into another vehicle,16,96,ambas clases
train,43/149,2,1,1,144,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,80,ambas clases
train,43/150,3,1,2,234,a vehicle changes lanes with the same direction to ego-car/another vehicle,10,170,ambas clases
train,43/152,2,1,1,160,a vehicle turns on a road with the opposite direction to ego-car/another vehicle,16,96,ambas clases
train,43/153,2,1,1,95,lead vehicle stops,15,31,ambas clases
train,43/159,3,1,2,200,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,136,ambas clases
train,43/161,3,2,1,130,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,66,ambas clases
train,43/163,3,1,2,190,lead vehicle stops,14,126,ambas clases
train,43/164,4,2,2,290,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,162,ambas clases
train,43/165,3,1,2,245,a vehicle changes lanes with the same direction to ego-car/another vehicle,5,149,ambas clases
train,43/166,3,1,2,184,a vehicle turns left across path at signalized junctions,8,120,ambas clases
train,43/167,3,1,2,256,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,176,ambas clases
train,43/168,2,1,1,128,a vehicle turns right across path at signalized junctions,16,64,ambas clases
train,43/170,3,1,2,184,a vehicle crosses the road,8,120,ambas clases
train,43/173,2,1,1,159,lead vehicle stops,15,95,ambas clases
train,43/175,3,1,2,400,a vehicle crosses the road,16,176,ambas clases
train,43/176,3,1,2,214,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,150,ambas clases
train,43/181,2,1,1,120,a vehicle crosses the road,8,56,ambas clases
train,43/183,3,2,1,132,a vehicle changes lanes with the same direction to ego-car/another vehicle,4,68,ambas clases
train,43/186,2,1,1,106,a vehicle turns right across path at non-signalized junctions,10,42,ambas clases
train,43/187,2,1,1,152,a vehicle crosses the road,8,88,ambas clases
train,43/190,2,1,1,142,vehicles  meet on the road,14,78,ambas clases
train,43/192,2,1,1,124,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,60,ambas clases
train,43/193,2,1,1,96,vehicles  meet on the road,16,32,ambas clases
train,43/198,3,1,2,233,lead vehicle stops,9,169,ambas clases
train,43/201,3,1,2,280,a vehicle crosses the road,8,152,ambas clases
train,43/202,2,1,1,108,a vehicle turns right across path at signalized junctions,12,44,ambas clases
train,43/203,3,2,1,148,a vehicle changes lanes with the same direction to ego-car/another vehicle,4,84,ambas clases
train,43/204,4,2,2,212,a vehicle turns on a road with the same direction to ego-car/another vehicle,4,148,ambas clases
train,43/208,3,1,2,186,a vehicle crosses the road,10,122,ambas clases
train,44/002,4,2,2,212,a vehicle is out of control,4,148,ambas clases
train,45/003,3,2,1,146,a motorbike crosses the road,2,82,ambas clases
train,45/005,3,2,1,180,a vehicle turns right across path at non-signalized junctions,4,116,ambas clases
train,45/006,3,1,2,286,a vehicle changes lanes with the same direction to ego-car/another vehicle,14,174,ambas clases
train,45/007,3,2,1,114,lead motorcycle stops,2,50,ambas clases
train,45/008,3,1,2,188,a motorbike turns right across path at signalized junctions,12,124,ambas clases
train,45/009,3,1,2,186,a motorbike crosses the road,10,122,ambas clases
train,47/001,3,2,1,146,a motorbike changes lines into motorway,2,82,ambas clases
train,48/002,3,2,1,100,lead vehicle stops,4,36,ambas clases
train,48/004,4,2,2,274,lead vehicle stops,2,146,ambas clases
train,48/008,3,1,2,336,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,160,ambas clases
train,48/009,3,1,2,344,lead vehicle stops,8,168,ambas clases
train,48/010,2,1,1,170,a vehicle changes lanes with the same direction to ego-car/another vehicle,10,106,ambas clases
train,48/011,2,1,1,160,a vehicle turns left across path at signalized junctions,16,96,ambas clases
train,48/017,3,2,1,100,lead vehicle stops,4,36,ambas clases
train,48/018,4,2,2,274,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,178,ambas clases
train,48/019,2,1,1,150,lead vehicle stops,6,86,ambas clases
train,48/020,3,1,2,318,lead vehicle stops,14,158,ambas clases
train,48/021,3,1,2,300,lead vehicle decelerates,12,156,ambas clases
train,48/022,3,1,2,262,a vehicle is out of control,6,166,ambas clases
train,48/024,3,2,1,161,a vehicle turns left across path at signalized junctions,1,97,ambas clases
train,48/027,2,1,1,156,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,92,ambas clases
train,48/028,3,1,2,240,lead vehicle stops,16,144,ambas clases
train,48/029,1,1,0,94,lead vehicle stops,14,14,solo positivos
train,48/030,2,1,1,102,vehicles  meet on the road,6,38,ambas clases
train,48/031,2,1,1,160,a vehicle crosses the road,16,96,ambas clases
train,48/032,3,1,2,189,a vehicle turns left across path at signalized junctions,13,125,ambas clases
train,48/034,2,1,1,170,a vehicle turns left across path at signalized junctions,10,106,ambas clases
train,48/035,3,2,1,100,a vehicle crosses the road,4,36,ambas clases
train,48/037,3,2,1,129,lead vehicle stops,1,65,ambas clases
train,48/038,3,1,2,365,a vehicle crosses the road,13,173,ambas clases
train,48/040,3,1,2,236,a vehicle crosses the road,12,172,ambas clases
train,48/041,3,1,2,198,a vehicle backes up into another vehicle,6,134,ambas clases
train,48/042,2,1,1,150,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,86,ambas clases
train,48/044,3,1,2,220,a vehicle crosses the road,12,156,ambas clases
train,48/049,4,2,2,354,lead vehicle stops,2,146,ambas clases
train,48/050,3,1,2,346,lead vehicle stops,10,154,ambas clases
train,48/053,3,2,1,178,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,114,ambas clases
train,48/056,3,1,2,316,lead vehicle stops,12,140,ambas clases
train,48/062,3,2,1,114,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,50,ambas clases
train,48/067,3,2,1,113,a vehicle crosses the road,1,49,ambas clases
train,48/070,3,1,2,336,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,144,ambas clases
train,48/073,2,1,1,152,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,88,ambas clases
train,48/075,2,1,1,104,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,40,ambas clases
train,48/076,3,1,2,245,lead vehicle stops,5,149,ambas clases
train,48/079,4,2,2,225,vehicles  meet on the road,1,161,ambas clases
train,48/081,3,1,2,204,lead vehicle decelerates,12,124,ambas clases
train,49/001,3,1,2,280,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,152,ambas clases
train,49/002,2,1,1,135,a vehicle changes lanes with the same direction to ego-car/another vehicle,7,71,ambas clases
train,49/003,3,2,1,115,a vehicle changes lanes with the same direction to ego-car/another vehicle,3,51,ambas clases
train,49/004,2,1,1,166,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,102,ambas clases
train,49/005,3,1,2,240,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,176,ambas clases
train,49/006,3,1,2,183,a vehicle changes lanes with the same direction to ego-car/another vehicle,7,119,ambas clases
train,49/013,3,1,2,268,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,172,ambas clases
train,49/014,3,1,2,280,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,168,ambas clases
train,49/015,3,1,2,216,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,120,ambas clases
train,49/017,2,1,1,140,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,76,ambas clases
train,49/019,3,1,2,280,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,168,ambas clases
train,49/020,3,1,2,268,a vehicle turns left across path at signalized junctions,12,156,ambas clases
train,49/022,3,1,2,255,a vehicle changes lanes with the same direction to ego-car/another vehicle,15,175,ambas clases
train,49/023,2,1,1,120,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,56,ambas clases
train,49/025,3,1,2,200,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,136,ambas clases
train,49/026,3,1,2,220,a vehicle backes up into another vehicle,12,156,ambas clases
train,49/028,2,1,1,168,a vehicle backes up into another vehicle,8,104,ambas clases
train,49/029,3,1,2,230,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,166,ambas clases
train,49/031,4,2,2,226,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,162,ambas clases
train,49/032,2,1,1,174,a vehicle changes lanes with the same direction to ego-car/another vehicle,14,110,ambas clases
train,49/034,3,2,1,162,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,98,ambas clases
train,5/001,2,1,1,165,a motorbike crosses the road,5,101,ambas clases
train,5/004,3,1,2,265,ego-car  turns right across path at non-signalized junctions,9,169,ambas clases
train,5/005,4,2,2,210,a motorbike crosses the road,2,146,ambas clases
train,5/008,3,1,2,282,a motorbike crosses the road,10,170,ambas clases
train,5/009,3,1,2,410,a motorbike crosses the road,10,154,ambas clases
train,5/010,2,1,1,95,a motorbike crosses the road,15,31,ambas clases
train,5/011,3,2,1,100,a motorbike crosses the road,4,36,ambas clases
train,5/012,3,1,2,430,a motorbike crosses the road,14,174,ambas clases
train,5/013,3,1,2,215,a motorbike crosses the road,7,151,ambas clases
train,5/014,3,1,2,424,a motorbike crosses the road,8,152,ambas clases
train,5/018,2,1,1,133,a motorbike crosses the road,5,69,ambas clases
train,5/019,3,1,2,240,a motorbike crosses the road,16,176,ambas clases
train,5/021,2,1,1,133,a motorbike crosses the road,5,69,ambas clases
train,5/022,4,2,2,370,a motorbike crosses the road,2,130,ambas clases
train,5/023,3,1,2,280,a motorbike crosses the road,8,136,ambas clases
train,5/024,4,2,2,290,a motorbike crosses the road,2,162,ambas clases
train,5/027,3,2,1,145,a motorbike crosses the road,1,81,ambas clases
train,5/028,3,1,2,252,a motorbike crosses the road,12,156,ambas clases
train,5/029,3,1,2,317,a motorbike crosses the road,13,157,ambas clases
train,5/030,3,1,2,328,a motorbike crosses the road,8,136,ambas clases
train,5/032,3,1,2,222,a motorbike crosses the road,14,158,ambas clases
train,5/034,3,1,2,302,a motorbike crosses the road,14,142,ambas clases
train,5/035,3,1,2,396,a motorbike crosses the road,12,172,ambas clases
train,5/036,4,2,2,228,a motorbike crosses the road,4,148,ambas clases
train,5/038,3,1,2,423,a motorbike crosses the road,7,167,ambas clases
